suite,name,training_float32,training_bfloat16,training_float16,training_amp_bf16,training_amp_fp16,inference_float32,inference_bfloat16,inference_float16,inference_amp_bf16,inference_amp_fp16
huggingface,AlbertForMaskedLM,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,AlbertForQuestionAnswering,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,AllenaiLongformerBase,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,BartForCausalLM,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,BartForConditionalGeneration,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,BertForMaskedLM,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,BertForQuestionAnswering,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,BlenderbotForCausalLM,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
huggingface,BlenderbotSmallForCausalLM,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,BlenderbotSmallForConditionalGeneration,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,CamemBert,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,DebertaForMaskedLM,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,DebertaForQuestionAnswering,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,DebertaV2ForMaskedLM,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
huggingface,DebertaV2ForQuestionAnswering,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,DistilBertForMaskedLM,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,DistilBertForQuestionAnswering,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,DistillGPT2,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,ElectraForCausalLM,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,ElectraForQuestionAnswering,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,GPT2ForSequenceClassification,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,GoogleFnet,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,LayoutLMForMaskedLM,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
huggingface,LayoutLMForSequenceClassification,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
