name,float32,bfloat16,float16,amp_bf16,amp_fp16
adv_inception_v3,pass,pass,fail_accuracy,pass,pass
beit_base_patch16_224,pass,pass,pass,pass,pass
botnet26t_256,pass,pass,fail_accuracy,pass,pass
cait_m36_384,pass,pass,pass,pass,pass
coat_lite_mini,pass,pass,pass,pass,pass
convit_base,pass,pass,pass,pass,pass
convmixer_768_32,pass,pass,pass,pass,pass
convnext_base,pass,pass,pass,pass,pass
crossvit_9_240,pass,pass,pass,pass,pass
cspdarknet53,pass,pass,fail_accuracy,pass,pass
deit_base_distilled_patch16_224,pass,pass,pass,pass,pass
dla102,pass,pass,fail_accuracy,pass,pass
dm_nfnet_f0,pass,pass,pass,pass,pass
dpn107,pass,pass,fail_accuracy,pass,pass
eca_botnext26ts_256,pass,pass,fail_accuracy,pass,pass
eca_halonext26ts,pass,pass,fail_accuracy,pass,pass
ese_vovnet19b_dw,pass,pass,fail_accuracy,pass,pass
fbnetc_100,pass,pass,fail_accuracy,pass,pass
fbnetv3_b,pass,pass,fail_accuracy,pass,pass
gernet_l,pass,pass,fail_accuracy,pass,pass
ghostnet_100,pass,pass,fail_accuracy,pass,pass
gluon_inception_v3,pass,pass,fail_accuracy,pass,pass
gmixer_24_224,pass,pass,pass,pass,pass
gmlp_s16_224,pass,pass,pass,pass,pass
hrnet_w18,pass,pass,fail_accuracy,pass,pass
inception_v3,pass,pass,fail_accuracy,pass,pass
jx_nest_base,pass,pass,pass,pass,pass
lcnet_050,pass,pass,fail_accuracy,pass,pass
levit_128,pass,pass,pass,pass,pass
mixer_b16_224,pass,pass,pass,pass,pass
mixnet_l,pass,pass,fail_accuracy,pass,pass
mnasnet_100,pass,pass,fail_accuracy,pass,pass
mobilenetv2_100,pass,pass,fail_accuracy,pass,pass
mobilenetv3_large_100,pass,pass,fail_accuracy,pass,pass
mobilevit_s,pass,pass,fail_accuracy,pass,pass
nfnet_l0,pass,pass,pass,pass,pass
pit_b_224,pass,pass,pass,pass,pass
pnasnet5large,pass,pass,timeout,pass,fail_accuracy
poolformer_m36,pass,pass,pass,pass,pass
regnety_002,pass,pass,fail_accuracy,pass,pass
repvgg_a2,pass,pass,fail_accuracy,pass,pass
res2net101_26w_4s,pass,pass,fail_accuracy,pass,pass
res2net50_14w_8s,pass,pass,fail_accuracy,pass,pass
res2next50,pass,pass,fail_accuracy,pass,pass
resmlp_12_224,pass,pass,pass,pass,pass
resnest101e,pass,pass,fail_accuracy,pass,pass
rexnet_100,pass,pass,fail_accuracy,pass,pass
sebotnet33ts_256,pass,pass,fail_accuracy,pass,pass
selecsls42b,pass,pass,fail_accuracy,pass,pass
spnasnet_100,pass,pass,fail_accuracy,pass,pass
swin_base_patch4_window7_224,pass,pass,pass,pass,pass
swsl_resnext101_32x16d,pass,pass,fail_accuracy,pass,pass
tf_efficientnet_b0,pass,pass,fail_accuracy,pass,pass
tf_mixnet_l,pass,pass,fail_accuracy,pass,pass
tinynet_a,pass,pass,fail_accuracy,pass,pass
tnt_s_patch16_224,pass,pass,pass,pass,pass
twins_pcpvt_base,pass,pass,pass,pass,pass
visformer_small,pass,pass,pass,pass,pass
vit_base_patch16_224,pass,pass,pass,pass,pass
volo_d1_224,pass,pass,fail_accuracy,pass,pass
xcit_large_24_p8_224,pass_due_to_skip,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run
