name,float32,bfloat16,float16,amp_bf16,amp_fp16
torchrec_dlrm,pass,eager_fail_to_run,eager_fail_to_run,pass,pass
BERT_pytorch,pass,pass,pass,pass,pass
Background_Matting,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
DALLE2_pytorch,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run
LearningToPaint,pass,pass,pass,pass,pass
Super_SloMo,pass,pass,pass,pass,pass
alexnet,pass,pass,pass,pass,pass
basic_gnn_edgecnn,pass,pass,pass,pass,pass
basic_gnn_gcn,pass,pass,pass,pass,pass
basic_gnn_gin,pass,pass,pass,pass,pass
basic_gnn_sage,pass,pass,pass,pass,pass
cm3leon_generate,pass,pass,pass,pass,pass
dcgan,pass,pass,pass,pass,pass
demucs,pass,pass,pass,pass,pass
densenet121,pass,pass,pass,pass,pass
detectron2_fasterrcnn_r_101_c4,pass,eager_fail_to_run,fail_accuracy,eager_fail_to_run,fail_accuracy
detectron2_fasterrcnn_r_101_dc5,pass,eager_fail_to_run,fail_accuracy,eager_fail_to_run,fail_accuracy
detectron2_fasterrcnn_r_101_fpn,pass,eager_fail_to_run,fail_accuracy,eager_fail_to_run,fail_accuracy
detectron2_fasterrcnn_r_50_c4,pass,eager_fail_to_run,fail_accuracy,eager_fail_to_run,fail_accuracy
detectron2_fasterrcnn_r_50_dc5,pass,eager_fail_to_run,fail_accuracy,eager_fail_to_run,fail_accuracy
detectron2_fasterrcnn_r_50_fpn,pass,eager_fail_to_run,fail_accuracy,eager_fail_to_run,fail_accuracy
detectron2_fcos_r_50_fpn,pass,pass,pass,pass,pass
detectron2_maskrcnn,fail_to_run,eager_fail_to_run,fail_to_run,eager_fail_to_run,fail_to_run
detectron2_maskrcnn_r_101_c4,fail_accuracy,eager_fail_to_run,fail_accuracy,eager_fail_to_run,fail_accuracy
detectron2_maskrcnn_r_101_fpn,fail_accuracy,eager_fail_to_run,fail_accuracy,eager_fail_to_run,fail_accuracy
detectron2_maskrcnn_r_50_c4,pass,eager_fail_to_run,fail_accuracy,eager_fail_to_run,fail_accuracy
detectron2_maskrcnn_r_50_fpn,fail_accuracy,eager_fail_to_run,fail_accuracy,eager_fail_to_run,fail_accuracy
dlrm,pass,pass,pass,pass,pass
doctr_det_predictor,pass,pass,pass,eager_fail_to_run,pass
doctr_reco_predictor,pass,pass,pass,pass,pass
drq,pass,pass,pass,pass,pass
fastNLP_Bert,pass,pass,pass,pass,pass
functorch_dp_cifar10,pass,pass,pass,pass,pass
functorch_maml_omniglot,pass,pass,pass,pass,pass
hf_Albert,pass,pass,pass,pass,pass
hf_Bart,pass,pass,pass,pass,pass
hf_Bert,pass,pass,pass,pass,pass
hf_Bert_large,pass,pass,pass,pass,pass
hf_BigBird,pass,pass,pass,pass,pass
hf_DistilBert,pass,pass,pass,pass,pass
hf_GPT2,pass,pass,pass,pass,pass
hf_GPT2_large,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
hf_Longformer,pass,pass,pass,pass,pass
hf_Reformer,pass,pass,pass,pass,pass
hf_T5,pass,pass,pass,pass,pass
hf_T5_base,pass,pass,pass,pass,pass
hf_T5_generate,pass,pass,pass,pass,pass
hf_T5_large,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
hf_Whisper,pass,pass,pass,pass,pass
hf_clip,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run
hf_distil_whisper,pass,pass,pass,pass,pass
lennard_jones,pass,pass,pass,pass,pass
llama,pass,pass,pass,pass,pass
llama_v2_7b_16h,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
llava,eager_fail_to_run,pass,pass,eager_fail_to_run,eager_fail_to_run
maml,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
maml_omniglot,pass,pass,pass,pass,pass
microbench_unbacked_tolist_sum,pass,pass,pass,pass,pass
mnasnet1_0,pass,pass,pass,pass,pass
mobilenet_v2,pass,pass,pass,pass,pass
mobilenet_v2_quantized_qat,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load
mobilenet_v3_large,pass,pass,pass,pass,pass
moco,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load
moondream,pass,pass,pass,pass,pass
nanogpt,pass,pass,pass,pass,pass
nvidia_deeprecommender,pass,pass,pass,pass,pass
opacus_cifar10,pass,pass,pass,pass,pass
phlippe_densenet,pass,pass,pass,pass,pass
phlippe_resnet,pass,pass,pass,pass,pass
pyhpc_equation_of_state,pass,pass,fail_accuracy,pass,pass
pyhpc_isoneutral_mixing,pass,pass,pass,pass,pass
pyhpc_turbulent_kinetic_energy,pass,pass,pass,pass,pass
pytorch_CycleGAN_and_pix2pix,pass,pass,pass,pass,pass
pytorch_stargan,pass,pass,pass,pass,pass
pytorch_unet,pass,pass,pass,pass,pass
resnet152,pass,pass,pass,pass,pass
resnet18,pass,pass,pass,pass,pass
resnet50,pass,pass,pass,pass,pass
resnet50_quantized_qat,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load
resnext50_32x4d,pass,pass,pass,pass,pass
sam,pass,pass,pass,pass,pass
sam_fast,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run
shufflenet_v2_x1_0,pass,pass,pass,pass,pass
simple_gpt,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load
simple_gpt_tp_manual,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load
soft_actor_critic,pass,pass,pass,pass,pass
speech_transformer,pass,pass,pass,pass,pass
squeezenet1_1,pass,fail_accuracy,fail_accuracy,pass,pass
stable_diffusion_text_encoder,pass,pass,pass,pass,pass
stable_diffusion_unet,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
tacotron2,pass,pass,pass,fail_to_run,fail_to_run
timm_efficientdet,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load,model_fail_to_load
timm_efficientnet,pass,pass,pass,pass,pass
timm_nfnet,pass,pass,pass,pass,pass
timm_regnet,pass,pass,pass,pass,pass
timm_resnest,pass,pass,pass,pass,pass
timm_vision_transformer,pass,pass,pass,pass,pass
timm_vision_transformer_large,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
timm_vovnet,pass,pass,pass,pass,pass
torch_multimodal_clip,pass,pass,pass,eager_fail_to_run,eager_fail_to_run
tts_angular,pass,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run,eager_fail_to_run
vgg16,pass,pass,pass,pass,pass
