name,float32,bfloat16,float16,amp_bf16,amp_fp16
AlbertForMaskedLM,pass,pass,pass,pass,pass
AlbertForQuestionAnswering,pass,pass,pass,pass,pass
AllenaiLongformerBase,pass,pass,pass,pass,pass
BartForCausalLM,pass,pass,pass,pass,pass
BartForConditionalGeneration,pass,pass,pass,pass,pass
BertForMaskedLM,pass,pass,pass,pass,pass
BertForQuestionAnswering,pass,pass,pass,pass,pass
BlenderbotForCausalLM,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
BlenderbotSmallForCausalLM,pass,pass,pass,pass,pass
BlenderbotSmallForConditionalGeneration,pass,pass,pass,pass,pass
CamemBert,pass,pass,pass,pass,pass
DebertaForMaskedLM,pass,pass,pass,pass,pass
DebertaForQuestionAnswering,pass,pass,pass,pass,pass
DebertaV2ForMaskedLM,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip,pass_due_to_skip
# Skip DebertaV2ForQuestionAnswering issue: https://github.com/intel/torch-xpu-ops/issues/1216
DebertaV2ForQuestionAnswering,fail_accuracy,fail_accuracy,fail_accuracy,pass,pass
DistilBertForMaskedLM,pass,pass,pass,pass,pass
DistilBertForQuestionAnswering,pass,pass,pass,pass,pass
DistillGPT2,pass,pass,pass,pass,pass
ElectraForCausalLM,pass,pass,pass,pass,pass
ElectraForQuestionAnswering,pass,pass,pass,pass,pass
GPT2ForSequenceClassification,pass,pass,pass,pass,pass
GoogleFnet,pass,pass,pass,pass,pass
LayoutLMForMaskedLM,pass,pass,pass,pass,pass
LayoutLMForSequenceClassification,pass,pass,pass,pass,pass
M2M100ForConditionalGeneration,pass,pass,pass,pass,pass
MBartForCausalLM,pass,pass,pass,pass,pass
MBartForConditionalGeneration,pass,pass,pass,pass,pass
MT5ForConditionalGeneration,pass,pass,pass,pass,pass
MegatronBertForCausalLM,pass,pass,pass,pass,pass
MegatronBertForQuestionAnswering,pass,pass,pass,pass,pass
MobileBertForMaskedLM,pass,pass,pass,pass,pass
MobileBertForQuestionAnswering,pass,pass,pass,pass,pass
OPTForCausalLM,pass,pass,pass,pass,pass
PLBartForCausalLM,pass,pass,pass,pass,pass
PLBartForConditionalGeneration,pass,pass,pass,pass,pass
PegasusForCausalLM,pass,pass,pass,pass,pass
PegasusForConditionalGeneration,pass,pass,pass,pass,pass
RobertaForCausalLM,pass,pass,pass,pass,pass
RobertaForQuestionAnswering,pass,pass,pass,pass,pass
Speech2Text2ForCausalLM,pass,pass,pass,pass,pass
T5ForConditionalGeneration,pass,pass,pass,pass,pass
T5Small,pass,pass,pass,pass,pass
TrOCRForCausalLM,pass,pass,pass,pass,pass
XGLMForCausalLM,pass,pass,pass,pass,pass
XLNetLMHeadModel,pass,pass,pass,pass,pass
YituTechConvBert,pass,pass,pass,pass,pass
