case	Upstream priority	Upstream target	Upstream owner	Tested feature
test/distributions/test_distributions.py	P1	2.9		distributed
test/inductor/test_benchmark_fusion.py	P1			inductor
test/inductor/test_cutlass_backend.py	P1			inductor
test/inductor/test_flex_attention.py	P1			inductor
test/nn/test_convolution.py	P2			op
test/inductor/test_smoke.py	P1			inductor
test/nn/test_dropout.py	P2			op
test/test_autograd_fallback.py	P2			op
test/test_cuda_nvml_based_avail.py	P4			runtime
test/test_cuda_primary_ctx.py	P4			runtime
test/test_cuda_trace.py	P4			runtime
test/test_fake_tensor.py	P2			op
test/test_fx.py	P2			op
test/test_native_mha.py	P2			op
test/test_nn.py	P1			op
test/test_overrides.py	P3			op
test/test_python_dispatch.py	P3			op
test/test_reductions.py	P1			op
test/test_sort_and_select.py	P2			op
test/test_spectral_ops.py	P2			op
test/test_tensor_creation_ops.py	P1			op
test/test_torch.py	P1			op
test/test_transformers.py	P1			op
test/test_utils.py	P3			runtime
cpp/cpu_generator_test 				cpp
test/distributions/test_constraints.py	P1			distributed
test/dynamo/test_autograd_function.py	P1	2.9	Erxin	dynamo
test/dynamo/test_backends.py	P1	2.9	Erxin	dynamo
test/dynamo/test_callback.py	P1	2.9	Erxin	dynamo
test/dynamo/test_compile.py	P1	2.9	Erxin	dynamo
test/dynamo/test_ctx_manager.py	P1	2.9	Erxin	dynamo
test/dynamo/test_cudagraphs.py	P1	2.9	Erxin	dynamo
test/dynamo/test_cudagraphs_expandable_segments.py	P1	2.9	Erxin	dynamo
test/dynamo/test_dicts.py	P1	2.9	Erxin	dynamo
test/dynamo/test_dynamic_shapes.py	P1	2.9	Erxin	dynamo
test/dynamo/test_exceptions.py	P1	2.9	Erxin	dynamo
test/dynamo/test_flat_apply.py	P1	2.9	Erxin	dynamo
test/dynamo/test_functions.py	P1	2.9	Erxin	dynamo
test/dynamo/test_higher_order_ops.py	P1	2.9	Erxin	dynamo
test/dynamo/test_misc.py	P1	2.9	Erxin	dynamo
test/dynamo/test_model_output.py	P1	2.9	Erxin	dynamo
test/dynamo/test_modules.py	P1	2.9	Erxin	dynamo
test/dynamo/test_repros.py	P1	2.9	Erxin	dynamo
test/export/test_cpp_serdes.py	P2			export
test/export/test_draft_export.py	P2			export
test/export/test_export.py	P2			export
test/export/test_export_nonstrict.py	P2			export
test/export/test_export_training_ir_to_run_decomp.py	P2			export
test/export/test_hop.py	P2			export
test/export/test_retraceability.py	P2			export
test/export/test_serdes.py	P2			export
test/export/test_serialize.py	P2			export
test/functorch/test_ac.py	P3			functorch
test/functorch/test_control_flow.py	P3			functorch
test/functorch/test_eager_transforms.py	P3			functorch
test/functorch/test_ops.py	P3			functorch
test/functorch/test_vmap.py	P3			functorch
test/inductor/test_aot_inductor.py	P1			inductor
test/inductor/test_aot_inductor_arrayref.py	P1			inductor
test/inductor/test_aot_inductor_custom_ops.py	P1			inductor
test/inductor/test_aot_inductor_package.py	P1			inductor
test/inductor/test_b2b_gemm.py	P1			inductor
test/inductor/test_triton_heuristics.py	P1			inductor
test/inductor/test_ck_backend.py	P1			inductor
test/inductor/test_codecache.py	P1			inductor
test/inductor/test_compiled_autograd.py	P1			inductor
